"filename", "language", "JavaScript", "Batch", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "Markdown", "YAML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveySettings\SubModals\CommonSubModal\CommonSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 14, 57
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveySettings\SubModals\CommonSubModal\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveySettings\SubModals\InviteAllSubModal\InviteAllSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 2, 16, 94
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveySettings\SubModals\InviteAllSubModal\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveySettings\SurveySettingsModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 602, 4, 124, 730
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveySettings\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\UserSettings\UserSettingsModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 31, 162
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\UserSettings\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Sidebar\Sidebar.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 107
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Sidebar\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveyEditorDetails\SurveyEditorDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 1, 36, 174
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveyEditorDetails\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveyEditorTable\SurveyEditorTable.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 14, 80
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveyEditorTable\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveyNodesDetails\SurveyNodesDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 1, 41, 218
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveyNodesDetails\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveyNodesTable\SurveyNodesTable.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 10, 30, 168
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveyNodesTable\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveySelectorList\SurveySelectorList.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 42, 263
